File	Reference Location	Reference
moss_and_dees_1979.tsv	Table 1	Moss, C.W. & Dees, S.B., 1979. Further studies of the cellular fatty acid composition of Legionnaires disease bacteria. Journal of Clinical Microbiology, 9(5), pp.648–649. 
moss_et_al_1974.tsv	Table 3,4	Moss, C.W., Lambert, M.A. & Merwin, W.H., 1974. Comparison of rapid methods for analysis of bacterial fatty acids. Applied microbiology, 28(1), pp.80–85. 
moss_et_al_1977.tsv	Table 1	Moss, C.W. et al., 1977. Cellular fatty acid composition of isolates from Legionnaires disease. Journal of Clinical Microbiology, 6(2), pp.140–143. 
mourente_et_al_1990.tsv	Table 2,3,4	Mourente, G., Lubián, L.M. & Odriozola, J.M., 1990. Total fatty acid composition as a taxonomic index of some marine microalgae used as food in marine aquaculture. Hydrobiologia, 203(3), pp.147–154. 
nichols_and_russell_1996.tsv	Table 1	Nichols, D.S. & Russell, N.J., 1996. Fatty acid adaptation in an Antarctic bacterium - changes in primer utilization. Microbiology, 142(4), pp.747–754. 
nichols_1965.tsv	Table 1	Nichols, B.W., 1965. Light induced changes in the lipids of Chlorella vulgaris. Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism, 106(2), pp.274–279. 
nichols_et_al_1985.tsv	Table 2	Nichols, P.D. et al., 1985. Phospholipid and lipopolysaccharide normal and hydroxy fatty acids as potential signatures for methane-oxidizing bacteria. FEMS Microbiology Letters, 31(6), pp.327–335. 
nunes_et_al_1992.tsv	Table 1	Nunes, O.C. et al., 1992. The Polar Lipid and Fatty Acid Composition of Rhodothermus Strains. Systematic and Applied Microbiology, 15(1), pp.59–62. 
oliver_and_colwell_1973_1.tsv	Table 2	Oliver, J.D. & Colwell, R.R., 1973. Extractable Lipids of Gram-Negative Marine Bacteria: Fatty-Acid Composition. Int J Syst Bacteriol, 23(4), pp.442–458. 
oliver_and_colwell_1973_2.tsv	Table 2	Oliver, J.D. & Colwell, R.R., 1973. Extractable Lipids of Gram-Negative Marine Bacteria: Fatty-Acid Composition. Int J Syst Bacteriol, 23(4), pp.442–458. 
oliver_and_colwell_1973_3.tsv	Table 2	Oliver, J.D. & Colwell, R.R., 1973. Extractable Lipids of Gram-Negative Marine Bacteria: Fatty-Acid Composition. Int J Syst Bacteriol, 23(4), pp.442–458. 
oliver_and_colwell_1973_4.tsv	Table 6	Oliver, J.D. & Colwell, R.R., 1973. Extractable Lipids of Gram-Negative Marine Bacteria: Fatty-Acid Composition. Int J Syst Bacteriol, 23(4), pp.442–458. 
ommeda_and_torsvik_2007.tsv	Table 1	Ommedal, H. & Torsvik, T., 2007. Desulfotignum toluenicum sp. nov., a novel toluene-degrading, sulphate-reducing bacterium isolated from an oil-reservoir model column. International Journal of Systematic and Evolutionary Microbiology, 57(12), pp.2865–2869. 
oren_et_al_1985.tsv	Table 2	Oren, A. et al., 1985. Unsaturated fatty acid composition and biosynthesis in Oscillatoria limnetica and other cyanobacteria. Archives of Microbiology, 141(2), pp.138–142. 
oro_et_al_1967.tsv	Table 2	Oró, J. et al., 1967. Aliphatic Hydrocarbons and Fatty Acids of Some Marine and Freshwater Microorganisms. Journal of Bacteriology, 93(6), pp.1811–1818. 
parker_et_al_1967.tsv	Table 2	Parker, P.L., Baalen, C. van & Maurer, L., 1967. Fatty Acids in Eleven Species of Blue-Green Algae: Geochemical Significance. Science, 155(3763), pp.707–708. 
parkes_and_taylor_1983.tsv	Table 3	Parkes, R.J. & Taylor, J., 1983. The relationship between fatty acid distributions and bacterial respiratory types in contemporary marine sediments. Estuarine, Coastal and Shelf Science, 16(2), pp.173–174. 
pikuta_et_al_2003.tsv	Page 331	Pikuta, E.V. et al., 2003. Tindallia californiensis sp. nov., a new anaerobic, haloalkaliphilic, spore-forming acetogen isolated from Mono Lake in California. Extremophiles, 7(4), pp.327–334. 
qi_et_al_2004.tsv	Table 1	Qi, B. et al., 2004. Production of very long chain polyunsaturated omega-3 and omega-6 fatty acids in plants. Nature Biotechnology, 22(6), pp.739–745. 
ray_et_al_1971.tsv	Table 1	Ray, P.H., White, D.C. & Brock, T.D., 1971. Effect of Temperature on the Fatty Acid Composition of Thermus aquaticus. Journal of Bacteriology, 106(1), pp.25–30. 
rosenberg_1963.tsv	Table 2	Rosenberg, A., 1963. A Comparison of Lipid Patterns in Photosynthesizing and Nonphotosynthesizing Cells of Euglena Gracilis*. Biochemistry, 2(5), pp.1148–1154. 
servel_et_al_1994.tsv	Table 2	Servel, M.-O. et al., 1994. Fatty acid composition of some marine microalgae. Phytochemistry, 36(3), pp.691–693. 
shelobolina_et_al_2008.tsv	Table 2	Shelobolina, E.S. et al., 2008. Geobacter uraniireducens sp. nov., isolated from subsurface sediment undergoing uranium bioremediation. International Journal of Systematic and Evolutionary Microbiology, 58(5), pp.1075–1078. 
shen_et_al_1970.tsv	Table 1	Shen, P.Y. et al., 1970. Fatty Acid Distribution in Mesophilic and Thermophilic Strains of the Genus Bacillus. Journal of Bacteriology, 103(2), pp.479–481. 
silva_et_al_2000.tsv	Table 3	Silva, Z. et al., 2000. Polyphasic evidence for the reclassification of Rhodothermus obamensis Sako et al. 1996 as a member of the species Rhodothermus marinus Alfredsson et al. 1988. International Journal of Systematic and Evolutionary Microbiology, 50(4), pp.1457–1461. 
skerratt_et_al_2002.tsv	Table 2	Skerratt, J.H., Bowman, J.P. & Nichols, P.D., 2002. Shewanella olleyana sp. nov., a marine species isolated from a temperate estuary which produces high levels of polyunsaturated fatty acids. International Journal of Systematic and Evolutionary Microbiology, 52(6), pp.2101–2106. 
spring_et_al_2003.tsv	Table 2	Spring, S. et al., 2003. Characterization of novel psychrophilic clostridia from an Antarctic microbial mat: description of Clostridium frigoris sp. nov., Clostridium lacusfryxellense sp. nov., Clostridium bowmanii sp. nov. and Clostridium psychrophilum sp. nov. and reclassification of Clostridium laramiense as Clostridium estertheticum subsp. laramiense subsp. nov. International Journal of Systematic and Evolutionary Microbiology, 53(4), pp.1019–1029. 
sugimoto_et_al_1982_1.tsv	Table 1	Sugimoto, C. et al., 1982. Cellular fatty acid composition of Haemophilus equigenitalis. Journal of Clinical Microbiology, 15(5), pp.791–794. 
sugimoto_et_al_1982_2.tsv	Table 2	Sugimoto, C. et al., 1982. Cellular fatty acid composition of Haemophilus equigenitalis. Journal of Clinical Microbiology, 15(5), pp.791–794. 
takai_et_al_2003.tsv	Page 825	Takai, K. et al., 2003. Sulfurihydrogenibium subterraneum gen. nov., sp. nov., from a subsurface hot aquifer. International Journal of Systematic and Evolutionary Microbiology, 53(3), pp.823–827. 
taranto_et_al_2003.tsv	Table 1	Taranto, M. p. et al., 2003. Bile salts and cholesterol induce changes in the lipid cell membrane of Lactobacillus reuteri. Journal of Applied Microbiology, 95(1), pp.86–91. 
tighe_et_al_2000.tsv	Table 1,2,3,4	Tighe, S.W. et al., 2000. Analysis of cellular fatty acids and phenotypic relationships of Agrobacterium, Bradyrhizobium, Mesorhizobium, Rhizobium and Sinorhizobium species using the Sherlock Microbial Identification System. International Journal of Systematic and Evolutionary Microbiology, 50(2), pp.787–801. 
tindall_1991.tsv	Table 1	Tindall, B.J., 1991. Lipid composition of Rhodothermus marinus. FEMS Microbiology Letters, 80(1), pp.65–68. 
tornabene_1973.tsv	Table 3	Tornabene, T.G., 1973. Lipid composition of selected strains of Yersinia pestis and Yersinia pseudotuberculosis. Biochimica Et Biophysica Acta, 306(2), pp.173–185. 
tsuzuki_et_al_1990_1.tsv	Table 2	Tsuzuki, M. et al., 1990. Effects of CO2 Concentration during Growth on Fatty Acid Composition in Microalgae. Plant Physiology, 93(3), pp.851–856. 
tsuzuki_et_al_1990_2.tsv	Table 4	Tsuzuki, M. et al., 1990. Effects of CO2 Concentration during Growth on Fatty Acid Composition in Microalgae. Plant Physiology, 93(3), pp.851–856. 
uchida_1974.tsv	Table 3	Uchida, K., 1974. Lipids of alcoholophilic lactobacilli II. Occurrence of polar lipids with unusually long acyl chains in Lactobacillus heterohiochii. Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism, 369(2), pp.146–155. 
uchida_and_mogi_1973.tsv	Table 1,2	Uchida, K. & Mogi, K., 1973. Cellular Fatty Acid Spectra of <i>sporolactobacillus</I> and Some Other <i>bacillus-Lactobacillus</I> Intermediates as a Guide to Their Taxonomy. The Journal of General and Applied Microbiology, 19(2), pp.129–140. 
valderrama_et_al_1998.tsv	Table 1	Valderrama, M.J. et al., 1998. Influence of salt concentration on the cellular fatty acid composition of the moderately halophilic bacterium Halomonas salina. Research in Microbiology, 149(9), pp.675–679. 
van_trappen_et_al_2003.tsv	Page 1242-1243	Van Trappen, S., Mergaert, J. & Swings, J., 2003. Flavobacterium gelidilacus sp. nov., isolated from microbial mats in Antarctic lakes. International Journal of Systematic and Evolutionary Microbiology, 53(5), pp.1241–1245. 
van_trappen_et_al_2004.tsv	Page 1971	Van Trappen, S. et al., 2004. Algoriphagus antarcticus sp. nov., a novel psychrophile from microbial mats in Antarctic lakes. International Journal of Systematic and Evolutionary Microbiology, 54(6), pp.1969–1973. 
vargas_et_al_1998.tsv	Table 4	Vargas, M. et al., 1998. Microbiological evidence for Fe(III) reduction on early Earth. Nature, 395(6697), pp.65–67. 
viso_and_marty_1993_1.tsv	Table 2	Viso, A.-C. & Marty, J.-C., 1993. Fatty acids from 28 marine microalgae. Phytochemistry, 34(6), pp.1521–1533. 
viso_and_marty_1993_2.tsv	Table 3	Viso, A.-C. & Marty, J.-C., 1993. Fatty acids from 28 marine microalgae. Phytochemistry, 34(6), pp.1521–1533. 
viso_and_marty_1993_3.tsv	Table 4	Viso, A.-C. & Marty, J.-C., 1993. Fatty acids from 28 marine microalgae. Phytochemistry, 34(6), pp.1521–1533. 
viso_and_marty_1993_4.tsv	Table 5	Viso, A.-C. & Marty, J.-C., 1993. Fatty acids from 28 marine microalgae. Phytochemistry, 34(6), pp.1521–1533. 
viso_and_marty_1993_5.tsv	Table 6	Viso, A.-C. & Marty, J.-C., 1993. Fatty acids from 28 marine microalgae. Phytochemistry, 34(6), pp.1521–1533. 
viso_and_marty_1993_6.tsv	Table 7	Viso, A.-C. & Marty, J.-C., 1993. Fatty acids from 28 marine microalgae. Phytochemistry, 34(6), pp.1521–1533. 
viso_and_marty_1993_7.tsv	Table 8	Viso, A.-C. & Marty, J.-C., 1993. Fatty acids from 28 marine microalgae. Phytochemistry, 34(6), pp.1521–1533. 
volkman_et_al_1989.tsv	Table 4,5	Volkman, J.K. et al., 1989. Fatty acid and lipid composition of 10 species of microalgae used in mariculture. Journal of Experimental Marine Biology and Ecology, 128(3), pp.219–240. 
wada_and_murata_1990.tsv	Table 1	Wada, H. & Murata, N., 1990. Temperature-Induced Changes in the Fatty Acid Composition of the Cyanobacterium, Synechocystis PCC6803 1. Plant Physiology, 92(4), pp.1062–1069. 
weerkamp_and_heinen_1972.tsv	Table 1	Weerkamp, A. & Heinen, W., 1972. Effect of Temperature on the Fatty Acid Composition of the Extreme Thermophiles, Bacillus caldolyticus and Bacillus caldotenax. Journal of Bacteriology, 109(1), pp.443–446. 
wilde_et_al_1997.tsv	Table 2	Wilde, E., Collins, M.D. & Hippe, H., 1997. Clostridium pascui sp. nov., a New Glutamate-Fermenting Sporeformer from a Pasture in Pakistan. International Journal of Systematic Bacteriology, 47(1), pp.164–170. 
wilkinson_et_al_1972.tsv	Table 1	Wilkinson, B.J., Morman, M.R. & White, D.C., 1972. Phospholipid Composition and Metabolism of Micrococcus denitrificans. Journal of Bacteriology, 112(3), pp.1288–1294. 
wise_et_al_2001.tsv	Table 1	Wise, M.G., McArthur, J.V. & Shimkets, L.J., 2001. Methylosarcina fibrata gen. nov., sp. nov. and Methylosarcina quisquiliarum sp.nov., novel type 1 methanotrophs. International Journal of Systematic and Evolutionary Microbiology, 51(Pt 2), pp.611–621. 
yamamoto_et_al_1998.tsv	Table 3	Yamamoto, K., Murakami, R. & Takamura, Y., 1998. Isoprenoid quinone, cellular fatty acid composition and diaminopimelic acid isomers of newly classified thermophilic anaerobic Gram-positive bacteria. FEMS Microbiology Letters, 161(2), pp.351–358. 
yilmaz_et_al_2006.tsv	Table 4	Yilmaz, H. et al., 2006. The first study on the bacterial flora of the european spruce bark beetle, Dendroctonus micans (Coleoptera: Scolytidae). Biologia, 61(6), pp.679–686. 
zelles_1997.tsv	Table 2-5	Zelles, L., 1997. Phospholipid fatty acid profiles in selected members of soil microbial communities. Chemosphere, 35(1–2), pp.275–294. 
zhilina_et_al_1998.tsv	Table 1	Zhilina, T.N. et al., 1998. Natronoincola histidinovorans gen. nov., sp. nov., a New Alkaliphilic Acetogenic Anaerobe. Current Microbiology, 37(3), pp.177–185. 
